,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
"$50,000 under $75,000",161,296,78,"9,978",120,"6,860",91,381,154,"1,098",54,0,113
"$75,000 under $100,000",86,176,54,"7,487",64,"4,982",53,253,82,813,25,0,77
"$100,000 or more     ",389,887,273,"223,167",270,"69,041",350,"12,236",378,"47,165",116,10,371
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90011,"28,695","79,469","42,698","606,190","25,351","545,843","4,097","1,784","13,077","22,018","4,818",0,"4,106"
"Under $10,000        ","6,390","12,952","5,695","36,150","4,667","28,047",453,201,"2,412","1,613","1,947",0,174
"$10,000 under $25,000","13,755","38,284","21,404","232,992","12,449","206,974","1,426",576,"5,400","5,803","2,051",0,"1,151"
"$25,000 under $50,000","7,121","23,312","12,989","241,044","6,877","226,985","1,571",534,"3,968","7,620",667,0,"1,935"
"$50,000 under $75,000","1,161","3,986","2,134","68,812","1,113","63,614",479,338,"1,041","4,065",112,0,647
"$75,000 under $100,000",187,695,370,"15,762",174,"13,519",113,98,175,"1,360",20,0,130
"$100,000 or more     ",81,240,106,"11,430",71,"6,704",55,37,81,"1,557",21,0,69
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90012,"7,479","13,993","4,179","256,484","6,205","201,018","2,845","6,045","4,753","34,368","1,283",*         ,"1,541"
"Under $10,000        ","1,949","2,921",589,"-7,219","1,349","10,212",459,672,574,462,398,0,99
"$10,000 under $25,000","2,504","5,443","2,022","41,280","2,173","34,466",682,834,"1,391","1,472",345,0,186
"$25,000 under $50,000","1,610","3,123","1,012","57,030","1,436","48,685",728,985,"1,388","4,301",237,0,328
"$50,000 under $75,000",634,"1,093",273,"38,844",572,"32,499",382,843,621,"4,404",107,0,300
"$75,000 under $100,000",312,558,132,"26,867",282,"22,386",210,477,310,"3,642",58,0,221
"$100,000 or more     ",470,855,151,"99,682",393,"52,770",384,"2,234",469,"20,087",138,*         ,407
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90013,"1,948","2,789",596,"121,620","1,592","52,484",560,"1,105","1,402","26,302",409,0,476
"Under $10,000        ",508,631,98,980,368,"2,017",73,86,133,81,114,0,10
"$10,000 under $25,000",608,915,251,"10,029",530,"8,512",93,121,470,567,108,0,35
"$25,000 under $50,000",376,562,131,"13,619",342,"11,675",126,153,344,"1,317",87,0,94
"$50,000 under $75,000",173,249,43,"10,648",166,"9,658",68,61,172,"1,420",38,0,83
"$75,000 under $100,000",81,118,15,"7,028",73,"5,906",44,31,81,"1,113",22,0,61
"$100,000 or more     ",202,314,58,"79,316",113,"14,716",156,653,202,"21,804",40,0,193
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90014,"1,655","2,540",629,"63,083","1,339","45,896",410,"1,593","1,220","9,017",430,0,393
"Under $10,000        ",438,582,111,268,274,"1,949",57,66,157,110,143,0,*         
"$10,000 under $25,000",485,801,261,"8,193",410,"6,794",61,53,363,449,111,0,45
"$25,000 under $50,000",386,595,147,"13,703",343,"12,075",102,103,355,"1,231",78,0,96
"$50,000 under $75,000",162,250,49,"9,971",147,"8,625",65,71,162,"1,293",52,0,88
"$75,000 under $100,000",76,112,17,"6,524",71,"5,414",41,120,75,932,20,0,67
"$100,000 or more     ",108,200,44,"24,424",94,"11,039",84,"1,180",108,"5,002",26,0,97
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90015,"5,213","11,347","4,939","157,592","4,425","120,455","1,023","1,959","3,109","17,455","1,075",*         ,795
"Under $10,000        ","1,277","2,105",692,"1,624",848,"5,425",139,163,547,358,456,0,24
"$10,000 under $25,000","2,184","5,080","2,464","37,256","1,960","32,870",251,122,"1,135","1,256",354,0,115
"$25,000 under $50,000","1,176","2,944","1,389","40,220","1,106","36,905",277,173,868,"2,317",147,*         ,235
"$50,000 under $75,000",273,612,227,"16,457",251,"14,172",131,108,257,"1,632",42,0,151
"$75,000 under $100,000",122,243,70,"10,462",110,"8,429",86,166,122,"1,334",32,0,99
"$100,000 or more     ",181,363,97,"51,573",150,"22,654",139,"1,227",180,"10,558",44,0,171
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90016,"18,807","39,726","16,610","580,592","15,780","479,326","5,450","5,229","12,504","42,436","3,609",0,"5,454"
"Under $10,000        ","3,461","5,434","1,700","16,228","2,379","13,794",466,257,"1,391",914,"1,115",0,140
"$10,000 under $25,000","6,544","13,858","6,198","111,733","5,401","90,300","1,173",898,"3,783","4,036","1,283",0,843
"$25,000 under $50,000","5,689","13,187","5,964","200,410","5,178","176,608","1,860","1,200","4,333","10,442",716,0,"2,110"
"$50,000 under $75,000","1,948","4,455","1,781","117,488","1,771","100,112","1,089","1,034","1,843","9,862",278,0,"1,319"
"$75,000 under $100,000",647,"1,527",550,"55,387",593,"45,752",440,516,638,"5,555",98,0,548
"$100,000 or more     ",518,"1,265",417,"79,346",458,"52,760",422,"1,324",516,"11,627",119,0,494
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90017,"5,394","11,677","5,070","234,742","4,578","137,127","1,016","6,253","3,183","35,914","1,102",*         ,721
"Under $10,000        ","1,433","2,436",847,"6,642",980,"6,004",133,147,595,397,480,0,18
"$10,000 under $25,000","2,250","5,443","2,717","37,987","2,036","33,860",219,245,"1,155","1,207",355,0,80
"$25,000 under $50,000","1,049","2,560","1,160","35,801","1,006","33,652",270,226,782,"2,108",130,0,155
"$50,000 under $75,000",229,417,122,"13,636",207,"11,649",91,166,223,"1,616",41,0,85
"$75,000 under $100,000",132,214,49,"11,422",116,"9,249",66,106,130,"1,628",29,0,106
"$100,000 or more     ",301,607,175,"129,254",233,"42,713",237,"5,363",298,"28,958",67,*         ,277
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90018,"18,025","38,849","16,886","492,187","15,044","406,218","4,022","3,420","11,434","33,018","3,880",*         ,"4,169"
"Under $10,000        ","4,006","6,434","2,109","21,044","2,631","15,591",429,284,"1,758","1,213","1,465",0,143
"$10,000 under $25,000","6,928","15,163","7,066","118,273","5,852","98,437",999,564,"3,904","4,336","1,439",0,776
"$25,000 under $50,000","4,964","11,746","5,397","173,148","4,617","156,795","1,348",833,"3,733","8,654",619,*         ,"1,689"
"$50,000 under $75,000","1,345","3,495","1,541","80,639","1,244","70,327",676,692,"1,262","6,129",173,0,872
"$75,000 under $100,000",433,"1,118",450,"36,797",396,"30,127",301,360,430,"3,769",90,0,364
"$100,000 or more     ",349,893,323,"62,286",304,"34,941",269,687,347,"8,917",94,0,325
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90019,"25,148","49,430","18,101","897,738","20,461","708,331","7,834","10,366","17,819","94,505","6,178",*         ,"6,800"
"Under $10,000        ","5,199","7,742","2,000","14,702","3,197","19,548",917,765,"2,303","1,561","1,948",0,244
"$10,000 under $25,000","8,056","16,461","6,797","137,793","6,635","109,847","1,496","1,298","5,005","5,964","1,824",0,867
"$25,000 under $50,000","7,040","14,781","5,854","248,796","6,330","215,638","2,297","2,089","5,754","16,232","1,220",0,"2,181"
"$50,000 under $75,000","2,409","5,038","1,789","146,576","2,148","121,045","1,264","1,888","2,328","14,659",461,*         ,"1,388"
"$75,000 under $100,000","1,035","2,191",689,"88,855",921,"71,183",710,"1,203","1,023","10,341",260,0,819
"$100,000 or more     ","1,409","3,217",972,"261,016","1,230","171,070","1,150","3,123","1,406","45,748",465,*         ,"1,301"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90020,"14,223","27,911","9,525","710,864","11,597","433,254","3,630","15,994","10,160","103,087","3,592",*         ,"2,389"
"Under $10,000        ","3,348","4,797",972,"8,032","1,967","12,428",517,739,"1,603","1,038","1,375",0,76
"$10,000 under $25,000","4,989","9,960","3,762","85,702","4,234","70,474",766,651,"3,317","4,085","1,162",0,358
"$25,000 under $50,000","3,752","8,192","3,084","131,228","3,522","118,643","1,072",929,"3,149","8,706",620,0,706
"$50,000 under $75,000","1,116","2,436",813,"67,497","1,035","58,419",535,753,"1,088","6,721",182,0,452
"$75,000 under $100,000",425,972,330,"36,183",388,"29,714",242,417,418,"4,269",81,0,260
"$100,000 or more     ",593,"1,554",564,"382,222",451,"143,576",498,"12,505",585,"78,268",172,*         ,537
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90021,979,"1,808",656,"54,773",817,"31,927",255,"1,152",669,"9,674",245,*         ,224
"Under $10,000        ",249,356,90,"-1,088",154,"1,322",39,70,101,96,87,0,*         
"$10,000 under $25,000",334,668,298,"5,650",298,"4,882",36,11,209,248,57,0,22
"$25,000 under $50,000",206,408,151,"7,157",192,"6,473",50,50,171,499,44,0,54
"$50,000 under $75,000",72,134,43,"4,377",66,"3,860",46,25,71,506,23,0,43
"$75,000 under $100,000",31,62,19,"2,654",27,"1,986",15,11,31,333,11,0,25
"$100,000 or more     ",87,180,55,"36,023",80,"13,404",69,985,86,"7,992",23,*         ,80
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90022,"22,667","56,755","27,068","608,569","20,113","531,561","4,802","3,299","12,868","34,480","3,059",*         ,"4,202"
"Under $10,000        ","4,235","7,291","2,488","23,502","3,108","18,147",470,259,"1,491",863,"1,000",0,111
"$10,000 under $25,000","9,088","22,002","10,806","156,371","8,073","135,473","1,282",734,"4,488","4,526","1,220",0,707
"$25,000 under $50,000","6,911","19,592","9,902","241,415","6,633","226,376","1,788",910,"4,646","10,048",586,*         ,"1,929"
"$50,000 under $75,000","1,795","5,812","2,908","107,362","1,724","99,141",850,685,"1,618","7,119",160,0,967
"$75,000 under $100,000",425,"1,409",682,"35,752",403,"31,399",251,167,414,"3,198",55,0,309
"$100,000 or more     ",213,649,282,"44,167",172,"21,025",161,544,211,"8,726",38,0,179
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90023,"14,630","38,061","18,989","359,280","13,050","324,584","2,496","1,878","7,741","18,200","1,971",0,"2,051"
"Under $10,000        ","2,746","4,951","1,836","11,968","1,992","12,168",263,286,978,579,689,0,46
"$10,000 under $25,000","6,426","16,310","8,394","109,974","5,787","97,346",704,353,"2,931","3,051",829,0,398
"$25,000 under $50,000","4,248","12,744","6,721","146,681","4,097","138,910",937,413,"2,712","5,838",344,0,970
