,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93628,101,254,88,"4,027",97,"3,037",44,7,68,201,*         ,0,18
"Under $10,000        ",16,16,0,96,15,92,*         ,*              ,*         ,*              ,0,0,0
"$10,000 under $25,000",26,53,15,449,24,396,*         ,*              ,22,12,*         ,0,0
"$25,000 under $50,000",34,101,38,"1,194",34,"1,170",28,1,24,47,*         ,0,*         
"$50,000 under $75,000",14,41,14,851,14,700,16,6,22,142,0,0,18
"$75,000 under $100,000",11,43,21,"1,437",10,679,*         ,*              ,*         ,*              ,0,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93630,"5,779","14,994","6,602","224,416","5,187","160,967","1,920","3,823","3,501","21,096",652,368,"1,408"
"Under $10,000        ",999,"1,695",541,"-3,014",812,"4,985",204,349,275,188,113,65,23
"$10,000 under $25,000","1,943","4,694","2,229","33,679","1,770","28,372",328,356,935,920,178,42,139
"$25,000 under $50,000","1,568","4,664","2,223","55,312","1,469","48,649",511,438,"1,062","2,562",164,70,372
"$50,000 under $75,000",682,"2,159",943,"41,464",630,"34,863",409,487,647,"3,059",103,58,392
"$75,000 under $100,000",297,917,362,"25,269",277,"20,364",206,235,295,"2,443",45,44,229
"$100,000 or more     ",290,865,304,"71,706",229,"23,734",262,"1,958",287,"11,924",49,89,253
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93631,"6,233","14,863","5,539","297,015","5,296","224,404","3,034","5,603","4,575","33,284",920,372,"2,331"
"Under $10,000        ","1,064","1,577",358,"-6,965",822,"5,527",291,540,346,184,119,72,39
"$10,000 under $25,000","1,523","3,115","1,161","26,353","1,233","19,928",444,739,928,960,171,52,195
"$25,000 under $50,000","1,496","3,637","1,461","54,343","1,320","44,333",645,591,"1,203","3,247",207,62,449
"$50,000 under $75,000",960,"2,854","1,145","59,142",860,"48,420",652,734,911,"4,363",181,59,609
"$75,000 under $100,000",597,"1,859",731,"51,364",540,"41,616",468,723,594,"4,613",120,43,493
"$100,000 or more     ",593,"1,821",683,"112,778",521,"64,580",534,"2,276",593,"19,917",122,84,546
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93633,55,77,9,"1,357",49,"1,214",10,0,43,117,*         ,0,0
"Under $10,000        ",12,14,1,59,10,67,0,0,*         ,*              ,*         ,0,0
"$10,000 under $25,000",20,27,4,320,17,253,10,0,20,19,*         ,0,0
"$25,000 under $50,000",23,36,4,978,22,894,*         ,*              ,23,98,0,0,0
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93634,25,51,14,981,23,667,*         ,*              ,22,90,*         ,0,0
"Under $10,000        ",0,0,0,0,0,0,0,0,0,0,0,0,0
"$10,000 under $25,000",10,12,1,188,10,156,*         ,*              ,*         ,*              ,*         ,0,0
"$25,000 under $50,000",15,39,13,793,13,511,0,0,22,90,0,0,0
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93635,"12,967","35,005","15,876","562,377","11,484","437,589","5,153","8,552","8,345","46,903","1,748",197,"5,320"
"Under $10,000        ","2,055","3,365","1,048",-333,"1,662","9,521",388,561,609,234,262,33,98
"$10,000 under $25,000","3,330","7,732","3,542","57,193","2,899","45,632",690,779,"1,779","1,802",359,28,451
"$25,000 under $50,000","3,565","10,736","5,341","130,429","3,216","110,070","1,354","1,199","2,347","5,719",465,32,"1,524"
"$50,000 under $75,000","2,117","7,041","3,354","129,730","1,978","112,491","1,247","1,128","1,757","7,505",300,40,"1,557"
"$75,000 under $100,000","1,028","3,417","1,518","88,072",972,"76,784",734,"1,118",984,"6,885",180,21,898
"$100,000 or more     ",872,"2,714","1,073","157,286",757,"83,091",740,"3,767",869,"24,758",182,43,792
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93636,"1,926","4,389","1,385","168,576","1,486","77,566","1,118","3,545","1,635","27,353",571,69,"1,004"
"Under $10,000        ",275,406,85,-323,189,"1,161",68,20,121,73,77,11,28
"$10,000 under $25,000",351,607,162,"5,949",262,"4,028",124,162,278,354,75,*         ,77
"$25,000 under $50,000",442,990,330,"16,331",328,"10,303",226,388,395,"1,302",133,17,194
"$50,000 under $75,000",304,826,292,"18,720",241,"12,103",223,301,290,"1,692",97,18,212
"$75,000 under $100,000",215,593,194,"18,577",182,"12,835",174,316,212,"2,020",70,*         ,175
"$100,000 or more     ",339,967,322,"109,322",284,"37,136",303,"2,358",339,"21,912",119,23,318
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93637,"12,028","29,659","12,385","502,324","10,373","365,456","4,676","11,439","7,850","57,743","1,470",358,"3,768"
"Under $10,000        ","1,998","3,396","1,109","-24,287","1,616","9,474",388,909,548,277,212,66,73
"$10,000 under $25,000","3,599","8,009","3,548","61,753","3,077","50,172",727,"1,058","1,878","1,878",343,45,369
"$25,000 under $50,000","3,173","8,698","4,001","113,158","2,832","94,644","1,176","1,138","2,281","5,713",354,51,964
"$50,000 under $75,000","1,591","4,665","1,951","97,406","1,435","79,712",997,"1,317","1,488","7,329",214,49,970
"$75,000 under $100,000",825,"2,495",969,"71,109",731,"55,201",635,"1,093",814,"6,870",144,41,651
"$100,000 or more     ",842,"2,396",807,"183,185",682,"76,253",753,"5,924",841,"35,676",203,106,741
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93638,"15,141","40,435","18,612","534,974","13,775","432,167","4,760","4,324","8,490","41,050","1,773",148,"4,031"
"Under $10,000        ","2,763","5,102","1,966","13,107","2,357","13,442",327,320,713,275,317,22,58
"$10,000 under $25,000","5,335","13,429","6,633","90,999","4,862","77,979",784,604,"2,295","2,121",420,14,370
"$25,000 under $50,000","3,902","12,142","6,018","138,307","3,629","120,336","1,342",894,"2,499","5,763",480,30,"1,164"
"$50,000 under $75,000","1,595","5,033","2,199","97,380","1,497","83,901","1,015",451,"1,449","6,593",283,31,"1,083"
"$75,000 under $100,000",833,"2,588","1,024","71,452",790,"61,184",655,476,822,"6,267",142,17,690
"$100,000 or more     ",713,"2,141",772,"123,729",640,"75,325",637,"1,579",712,"20,031",131,34,666
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93639,449,"1,078",463,"27,209",360,"11,463",182,766,272,"3,862",66,20,116
"Under $10,000        ",73,139,52,47,50,280,25,12,13,12,11,10,0
"$10,000 under $25,000",156,395,201,"2,637",136,"2,134",29,21,67,65,10,*         ,*         
"$25,000 under $50,000",107,278,127,"3,741",95,"3,116",42,38,84,241,32,*         ,35
"$50,000 under $75,000",50,131,54,"3,015",42,"2,321",29,21,45,272,*         ,*         ,28
"$75,000 under $100,000",29,68,18,"2,556",24,"1,714",26,58,29,276,13,10,22
"$100,000 or more     ",34,67,11,"15,213",13,"1,898",31,616,34,"2,996",*         ,*         ,31
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93640,"4,066","10,559","5,435","88,391","3,945","69,475",461,386,"1,558","3,978",227,*         ,200
"Under $10,000        ",728,"1,407",623,"4,723",684,"4,167",25,30,148,48,50,0,*         
"$10,000 under $25,000","2,303","5,740","3,047","38,922","2,259","31,186",161,44,769,630,90,0,35
"$25,000 under $50,000",862,"2,827","1,496","28,504",840,"23,902",200,123,474,933,60,0,97
"$50,000 under $75,000",127,448,218,"7,622",124,"6,685",43,17,121,555,27,*         ,40
"$75,000 under $100,000",30,90,34,"2,529",26,"1,943",20,15,30,282,*         ,0,14
"$100,000 or more     ",16,47,17,"6,091",12,"1,592",12,157,16,"1,530",*         ,*         ,14
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93641,184,372,95,"8,794",146,"4,810",79,108,140,998,35,*         ,57
"Under $10,000        ",37,54,7,138,24,108,*         ,*              ,16,7,*         ,*         ,0
"$10,000 under $25,000",51,114,42,895,41,627,21,14,33,40,18,*         ,*         
"$25,000 under $50,000",40,74,15,"1,428",34,"1,101",23,29,36,114,17,*         ,17
"$50,000 under $75,000",32,68,16,"1,900",28,"1,531",17,48,31,179,*         ,0,19
"$75,000 under $100,000",13,34,9,"1,084",19,"1,443",18,17,13,106,*         ,0,10
"$100,000 or more     ",11,28,6,"3,349",*         ,*              ,*         ,*              ,11,552,*         ,*         ,11
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93643,"1,337","2,722",671,"61,544",985,"35,334",725,"1,318","1,040","6,596",298,15,474
"Under $10,000        ",240,340,52,772,173,"1,030",67,74,80,31,47,*         ,15
"$10,000 under $25,000",308,555,144,"5,164",208,"3,036",135,211,218,213,56,0,51
"$25,000 under $50,000",350,734,191,"12,799",253,"7,454",181,391,309,882,71,15,119
"$50,000 under $75,000",208,508,132,"13,009",161,"8,401",155,302,203,"1,147",54,0,111
"$75,000 under $100,000",127,335,97,"10,892",106,"7,474",92,142,126,"1,100",38,*         ,96
"$100,000 or more     ",104,250,55,"18,908",84,"7,939",95,198,104,"3,223",32,*         ,82
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93644,"4,076","8,234","2,167","197,099","2,917","107,681","2,237","6,177","3,122","23,160",908,20,"1,589"
"Under $10,000        ",784,"1,099",198,"1,570",536,"3,279",244,375,255,116,158,10,51
"$10,000 under $25,000","1,000","1,716",427,"17,176",693,"10,729",414,784,715,741,165,*         ,186
"$25,000 under $50,000",989,"2,098",573,"35,828",720,"22,634",530,"1,104",874,"2,444",205,10,359
"$50,000 under $75,000",583,"1,462",438,"36,030",442,"22,708",419,888,561,"3,159",155,0,363
"$75,000 under $100,000",342,869,240,"29,395",257,"17,290",295,811,340,"2,962",94,*         ,283
"$100,000 or more     ",378,990,291,"77,100",269,"31,041",335,"2,215",377,"13,738",131,*         ,347
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93645,160,345,100,"9,972",120,"5,497",90,100,117,976,24,14,55
"Under $10,000        ",32,48,10,84,22,107,*         ,*              ,*         ,*              ,13,*         ,0
"$10,000 under $25,000",37,75,23,646,26,428,21,10,31,31,*         ,14,10
"$25,000 under $50,000",33,72,23,"1,159",25,733,18,20,30,77,*         ,*         ,*         
"$50,000 under $75,000",19,42,9,"1,141",13,697,16,25,19,98,0,0,13
"$75,000 under $100,000",18,51,17,"1,523",17,"1,132",14,13,17,143,11,*         ,13
"$100,000 or more     ",21,57,18,"5,419",17,"2,400",21,32,20,627,*         ,*         ,19
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93646,"2,791","7,790","3,972","66,997","2,637","53,842",404,468,"1,084","3,560",192,71,207
"Under $10,000        ",588,"1,227",565,"2,464",530,"3,274",44,28,107,44,41,15,*         
"$10,000 under $25,000","1,345","3,675","1,951","22,758","1,295","19,718",107,64,419,341,66,12,37
"$25,000 under $50,000",670,"2,259","1,171","22,760",642,"19,932",152,113,381,728,62,17,80
"$50,000 under $75,000",120,441,225,"7,066",112,"6,022",49,41,109,471,13,12,41
"$75,000 under $100,000",32,96,35,"2,703",29,"2,099",25,26,32,246,10,*         ,19
"$100,000 or more     ",36,92,25,"9,246",29,"2,797",27,196,36,"1,730",*         ,15,30
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93647,"3,257","8,699","4,219","77,480","3,050","63,999",581,723,"1,412","4,100",234,92,366
"Under $10,000        ",688,"1,260",500,"1,264",624,"3,594",56,45,154,57,45,19,*         
"$10,000 under $25,000","1,472","3,866","1,976","24,573","1,395","21,192",146,137,538,458,80,20,63
"$25,000 under $50,000",833,"2,756","1,407","28,269",802,"24,937",224,89,474,989,69,23,146
"$50,000 under $75,000",172,563,252,"10,256",150,"8,071",86,176,154,687,29,18,88
"$75,000 under $100,000",40,114,40,"3,444",35,"2,427",28,20,40,316,*         ,*         ,24
"$100,000 or more     ",52,140,44,"9,674",44,"3,778",41,256,52,"1,593",11,12,45
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93648,"4,558","12,229","6,249","99,122","4,366","89,299",618,355,"1,805","3,612",329,51,429
"Under $10,000        ","1,016","1,917",814,"4,472",929,"6,044",65,51,228,93,75,12,*         
"$10,000 under $25,000","2,122","5,570","2,961","35,440","2,064","31,451",166,77,671,533,113,11,82
"$25,000 under $50,000","1,138","3,749","1,994","38,809","1,114","35,558",240,105,641,"1,240",101,13,191
"$50,000 under $75,000",202,728,366,"12,182",192,"10,607",92,69,185,759,28,*         ,100
"$75,000 under $100,000",58,199,90,"4,887",50,"3,749",35,34,58,438,12,15,38
"$100,000 or more     ",22,66,24,"3,332",17,"1,890",20,19,22,549,*         ,*         ,18
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93649,91,170,38,"3,334",69,"2,398",35,30,71,263,*         ,0,23
"Under $10,000        ",14,15,0,67,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,0
"$10,000 under $25,000",29,49,12,497,31,379,19,5,26,25,*         ,0,0
"$25,000 under $50,000",21,40,10,752,16,588,*         ,*              ,18,42,*         ,0,10
"$50,000 under $75,000",17,43,11,"1,052",22,"1,431",16,25,17,88,*         ,0,13
"$75,000 under $100,000",10,23,5,966,*         ,*              ,*         ,*              ,10,108,0,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93650,"1,527","3,319","1,339","57,034","1,278","34,057",420,888,943,"4,961",150,*         ,238
"Under $10,000        ",352,594,202,"1,505",273,"1,574",65,69,102,48,39,*         ,14
"$10,000 under $25,000",558,"1,223",539,"9,428",474,"7,572",102,94,314,271,47,0,33
"$25,000 under $50,000",392,924,391,"13,689",349,"11,286",121,167,309,806,30,0,66
"$50,000 under $75,000",122,333,130,"7,286",106,"5,677",54,74,116,616,17,0,46
"$75,000 under $100,000",44,117,43,"3,718",37,"2,810",28,36,44,396,*         ,0,28
"$100,000 or more     ",59,128,34,"21,408",39,"5,138",50,448,58,"2,824",17,*         ,51
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93651,818,"1,844",563,"59,014",666,"33,107",472,593,654,"6,136",182,23,376
"Under $10,000        ",148,187,17,428,101,546,50,48,55,22,28,*         ,*         
"$10,000 under $25,000",136,215,42,"2,311",105,"1,616",39,32,106,126,25,0,23
"$25,000 under $50,000",186,459,164,"6,760",154,"4,960",103,114,155,422,40,*         ,62
"$50,000 under $75,000",128,353,130,"8,074",110,"5,781",92,94,119,722,39,23,95
"$75,000 under $100,000",100,276,88,"8,713",85,"6,455",82,49,100,856,24,*         ,81
"$100,000 or more     ",120,354,122,"32,728",111,"13,749",106,256,119,"3,988",26,*         ,115
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93652,323,888,442,"8,068",300,"6,050",43,8,133,396,13,*         ,24
"Under $10,000        ",72,126,46,356,64,385,*         ,*              ,19,10,13,*         ,0
"$10,000 under $25,000",143,409,222,"2,460",138,"2,166",14,1,43,39,*         ,*         ,12
"$25,000 under $50,000",74,246,130,"2,405",73,"2,201",16,2,41,84,*         ,*         ,*         
"$50,000 under $75,000",21,65,28,"1,218",25,"1,298",13,5,19,83,*         ,*         ,12
"$75,000 under $100,000",13,42,16,"1,629",*         ,*              ,*         ,*              ,11,180,0,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93653,436,934,251,"19,374",325,"12,729",224,325,327,"2,142",86,53,164
"Under $10,000        ",87,123,14,40,52,191,30,34,18,7,18,18,*         
"$10,000 under $25,000",100,184,44,"1,716",71,"1,025",33,33,76,95,18,*         ,18
"$25,000 under $50,000",109,259,91,"4,042",88,"2,798",61,100,95,265,20,12,41
"$50,000 under $75,000",61,164,46,"3,703",52,"2,672",38,36,59,300,19,10,40
"$75,000 under $100,000",41,104,29,"3,434",34,"2,685",32,37,41,358,*         ,*         ,30
"$100,000 or more     ",38,100,27,"6,439",28,"3,358",30,85,38,"1,117",11,13,35
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93654,"10,269","25,763","11,103","372,903","9,062","276,180","3,426","7,191","5,838","35,888","1,165",404,"2,576"
"Under $10,000        ","1,886","3,123",993,"-3,841","1,550","9,875",345,651,485,225,194,66,59
"$10,000 under $25,000","3,621","8,691","4,109","61,108","3,271","49,572",591,795,"1,526","1,404",273,60,246
"$25,000 under $50,000","2,567","7,387","3,443","89,440","2,321","74,913",875,"1,014","1,696","3,995",280,64,655
"$50,000 under $75,000","1,104","3,270","1,319","67,632",986,"53,836",714,863,"1,046","5,083",187,74,678
"$75,000 under $100,000",516,"1,568",600,"44,174",447,"34,012",394,736,511,"4,143",97,38,423
"$100,000 or more     ",575,"1,724",639,"114,390",487,"53,972",507,"3,132",574,"21,038",134,102,515
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93656,"2,008","5,414","2,424","72,172","1,813","51,255",554,"1,808","1,149","7,228",175,74,348
"Under $10,000        ",341,612,193,"-1,647",275,"1,734",63,117,94,94,30,32,*         
"$10,000 under $25,000",696,"1,768",856,"12,355",644,"10,828",107,119,335,321,68,*         ,48
"$25,000 under $50,000",618,"1,988",981,"21,558",584,"19,056",159,194,380,850,37,16,106
"$50,000 under $75,000",195,587,231,"11,773",174,"9,297",98,374,182,862,30,11,82
"$75,000 under $100,000",74,217,77,"6,249",69,"4,928",52,65,74,640,10,15,43
"$100,000 or more     ",84,242,86,"21,884",67,"5,412",75,939,84,"4,461",*         ,*         ,69
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93657,"12,135","29,289","12,156","478,458","10,724","360,913","4,475","7,335","7,713","44,179","1,564",439,"3,435"
"Under $10,000        ","2,178","3,530","1,075","4,694","1,746","9,984",410,"1,000",611,396,266,69,72
"$10,000 under $25,000","3,789","8,609","3,991","64,434","3,411","54,280",700,704,"1,846","1,815",324,61,265
"$25,000 under $50,000","3,112","8,299","3,795","109,982","2,839","94,056","1,099","1,085","2,289","5,590",390,82,823
"$50,000 under $75,000","1,465","4,100","1,574","89,758","1,317","72,625",931,"1,058","1,384","7,080",255,52,909
"$75,000 under $100,000",783,"2,379",893,"67,743",710,"53,631",606,797,776,"6,349",152,57,629
"$100,000 or more     ",808,"2,372",828,"141,847",701,"76,337",729,"2,691",807,"22,949",177,118,737
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93660,"1,423","4,415","2,336","34,956","1,362","28,756",204,212,490,"1,598",95,*         ,92
"Under $10,000        ",237,492,212,498,216,"1,334",11,2,61,18,25,0,10
"$10,000 under $25,000",664,"2,000","1,090","11,862",653,"10,478",51,6,171,161,34,*         ,*         
"$25,000 under $50,000",440,"1,641",903,"14,647",425,"12,705",97,60,188,381,36,*         ,52
"$50,000 under $75,000",52,204,108,"3,087",49,"2,673",29,18,41,181,*         ,0,20
"$75,000 under $100,000",13,42,18,"1,078",19,"1,566",*         ,*              ,12,103,0,0,*         
"$100,000 or more     ",17,36,5,"3,784",*         ,*              ,16,126,17,754,*         ,*         ,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93661,83,241,115,"2,149",80,"1,827",11,1,40,54,*         ,0,*         
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0
"$10,000 under $25,000",37,87,35,602,34,505,11,1,16,12,0,0,0
"$25,000 under $50,000",46,154,80,"1,547",46,"1,322",*         ,*              ,24,42,0,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93662,"10,747","26,710","11,771","349,115","9,512","275,431","3,408","5,116","6,310","27,604","1,253",357,"2,538"
"Under $10,000        ","2,018","3,595","1,309",736,"1,661","9,937",313,412,493,251,231,72,52
"$10,000 under $25,000","3,925","9,224","4,373","66,821","3,503","55,314",633,809,"1,913","1,849",362,53,252
"$25,000 under $50,000","2,754","7,641","3,571","96,770","2,528","82,241",972,929,"1,940","4,717",308,74,781
"$50,000 under $75,000","1,129","3,473","1,466","69,109","1,024","56,783",721,810,"1,049","4,922",184,53,679
"$75,000 under $100,000",488,"1,536",624,"41,866",452,"34,872",383,399,484,"3,734",73,37,390
"$100,000 or more     ",433,"1,241",428,"73,813",344,"36,284",386,"1,757",431,"12,131",95,68,384
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93664,370,713,122,"27,898",251,"14,002",274,707,300,"3,907",114,0,217
"Under $10,000        ",52,64,7,15,33,186,20,17,12,5,15,0,*         
"$10,000 under $25,000",64,110,21,"1,064",35,574,38,89,44,53,16,0,24
"$25,000 under $50,000",70,131,24,"2,550",37,"1,029",55,97,61,209,19,0,40
"$50,000 under $75,000",48,101,18,"3,011",38,"1,884",36,51,47,268,11,0,30
"$75,000 under $100,000",42,90,14,"3,716",32,"1,874",37,67,42,425,13,0,37
"$100,000 or more     ",94,217,38,"17,542",76,"8,455",88,386,94,"2,947",40,0,86
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93665,254,756,395,"6,037",242,"5,113",42,4,113,215,15,*         ,18
"Under $10,000        ",44,90,39,247,38,189,*         ,*              ,*         ,*              ,*         ,0,0
"$10,000 under $25,000",113,313,165,"1,978",111,"1,754",16,1,51,36,15,0,*         
"$25,000 under $50,000",84,305,166,"2,991",81,"2,585",26,3,50,110,*         ,0,18
"$50,000 under $75,000",13,48,25,821,12,585,*         ,*              ,12,69,0,0,*         
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,*         ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93666,372,"1,062",558,"7,827",348,"6,909",40,9,151,304,35,*         ,18
"Under $10,000        ",84,191,94,295,72,477,15,1,20,12,11,*         ,*         
"$10,000 under $25,000",178,502,272,"2,962",172,"2,625",*         ,*              ,57,43,12,0,*         
"$25,000 under $50,000",91,310,168,"3,062",89,"2,870",25,8,56,96,12,0,18
"$50,000 under $75,000",19,59,24,"1,508",15,937,*         ,*              ,18,153,*         ,0,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,*         ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93667,"1,009","2,324",771,"52,765",846,"36,109",486,499,764,"5,430",160,17,396
"Under $10,000        ",172,245,46,384,129,913,46,43,54,27,27,*         ,*         
"$10,000 under $25,000",216,429,145,"3,519",164,"2,453",65,65,127,109,21,*         ,42
"$25,000 under $50,000",231,542,197,"8,466",203,"6,450",92,45,197,527,32,*         ,71
"$50,000 under $75,000",189,530,190,"11,680",168,"9,065",125,95,186,900,40,17,109
"$75,000 under $100,000",105,305,101,"9,012",96,"7,067",76,44,104,811,19,*         ,85
"$100,000 or more     ",96,273,92,"19,704",86,"10,161",82,207,96,"3,056",21,*         ,89
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93668,433,"1,083",451,"22,651",385,"10,416",157,540,258,"3,110",32,19,88
"Under $10,000        ",75,125,33,-271,61,363,15,5,21,10,*         ,*         ,0
"$10,000 under $25,000",148,365,170,"2,657",135,"2,217",31,43,69,64,21,*         ,*         
"$25,000 under $50,000",125,357,169,"4,248",119,"3,661",43,27,85,193,*         ,*         ,33
"$50,000 under $75,000",34,107,44,"2,043",32,"1,676",24,4,33,144,11,*         ,18
"$75,000 under $100,000",27,73,23,"2,297",23,"1,511",20,16,27,280,*         ,19,20
"$100,000 or more     ",24,56,12,"11,677",15,988,24,445,23,"2,419",*         ,*         ,17
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93669,121,227,47,"5,093",100,"3,350",54,30,93,511,13,0,39
"Under $10,000        ",27,38,8,106,21,103,13,8,*         ,*              ,*         ,0,0
"$10,000 under $25,000",25,38,4,436,19,318,*         ,*              ,27,22,13,0,0
"$25,000 under $50,000",32,64,15,"1,149",27,791,18,6,30,73,*         ,0,12
"$50,000 under $75,000",25,55,12,"1,729",23,"1,389",10,6,24,150,0,0,17
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,13,10,*         ,*              ,0,0,*         
"$100,000 or more     ",12,32,8,"1,673",10,749,*         ,*              ,12,266,*         ,0,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93670,96,271,140,"2,120",87,"1,673",14,1,36,63,*         ,*         ,*         
"Under $10,000        ",26,54,24,187,25,156,*         ,*              ,*         ,*              ,*         ,0,0
"$10,000 under $25,000",41,121,70,725,36,548,14,1,19,14,*         ,0,0
"$25,000 under $50,000",29,96,46,"1,208",26,969,*         ,*              ,17,49,*         ,*         ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,*         ,*         
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93673,381,"1,065",561,"7,600",356,"6,055",24,2,112,242,*         ,0,16
"Under $10,000        ",77,152,66,465,71,401,*         ,*              ,14,6,*         ,0,0
"$10,000 under $25,000",215,582,310,"3,542",205,"3,072",12,1,55,51,*         ,0,16
"$25,000 under $50,000",72,276,159,"2,314",70,"2,067",12,1,26,48,*         ,0,*         
"$50,000 under $75,000",17,55,26,"1,279",10,515,*         ,*              ,17,137,0,0,0
"$75,000 under $100,000",*         ,*         ,*         ,*              ,0,0,0,0,*         ,*              ,0,0,0
